Complaint_ID,Complaint_Text,Complaint_Type,Block,Floor,Room_No,Category,Duration,Students_Affected,Support_Count,Priority,Status,Complaint_Date
C0178,"black mold patches have started spreading across the bathroom wall in my room for 4 days now, kindly fix soon",Public,B,First,15,Washroom,for 4 days now,1,0,High,Pending,13-06-2026
C0179,"hello, dryer in the laundry area has been out of order fr days now, clothes just wont dry. pls look into this!!",Public,B,First,17,Laundry,for 4 days now,31,8,Low,Resolved,13-06-2026
C0180,"The washroom bin hasnt been cleaned in so long, it smells awful the moment you walk in, since yesterday",Public,C,First,15,Washroom,since yesterday,34,3,Medium,Pending,13-06-2026
C0181,Black mold patches have started spreading across the bathroom wall in my room (since this evening). Please look into this.,Public,A,Second,27,Washroom,since this evening,1,0,High,Resolved,14-06-2026
C0182,basin pipe under the sink is loose and water keeps leaking onto the floor,Public,C,Ground,6,Leakage,since last night,1,0,Low,Resolved,14-06-2026
C0183,"Construction work right outside starts at 6am and its impossible to get any sleep, since last Friday.",Public,C,First,17,Noise,since last Friday,136,49,High,In Progress,14-06-2026
C0184,Exhaust fan in the washroom doesnt work so it never really airs out properly.,Public,C,First,12,Washroom,since last Friday,29,0,Low,Resolved,14-06-2026
C0185,"dropped my water bottle somewhere between the library and Block A, if anyone finds it pls let me know, for 4 days now.",Private,A,Second,26,Security,for 4 days now,1,0,Low,Pending,15-06-2026
C0186,"Noticed sparks coming from the wall socket near my bed last night, kind of scared to switch it on again.",Public,C,First,16,Electricity,since last night,1,0,Critical,In Progress,15-06-2026
C0187,"water pressure is extremely low every morning, cant even fill a bucket properly, pls fix asap",Public,C,Second,23,Water Supply,for over a week,53,22,High,Pending,15-06-2026
C0188,"Rainwater keeps entering the ground floor corridor because of blocked drainage, for the past 2 days. Would appreciate a quick fix.",Public,C,First,11,Drainage,for the past 2 days,21,12,High,In Progress,15-06-2026
C0189,"Power backup didnt kick in at all during last nights outage, we sat in the dark for hours.",Public,A,Ground,3,Electricity,since last night,111,11,High,Pending,16-06-2026
C0190,"washroom mirror is covered in stains and never actually gets wiped down for 3-4 days now, someone pls check this",Public,A,Second,23,Cleanliness,for 3-4 days now,40,12,Low,In Progress,16-06-2026
C0191,"wifi password got changed without telling anyone, nobody on the floor can connect now, pls fix asap",Public,C,Ground,10,WiFi,since 2 hours,36,17,Medium,In Progress,16-06-2026
C0192,The milk served at breakfast smelled slightly off this morning!!,Public,B,First,11,Mess,since this morning,4,0,High,Pending,16-06-2026
C0193,"Since last Friday, toilet seat in the washroom on Second floor is broken and wobbly.",Public,A,Second,25,Washroom,since last Friday,19,6,Low,Rejected,16-06-2026
C0194,Left my denim jacket in the mess hall yesterday and cant find it anywhere now. Its been really inconvenient for all of us.,Private,A,Ground,2,Security,since yesterday,1,0,Low,Pending,16-06-2026
C0195,"Hi, there were small stones in the rice today, I almost broke a tooth",Public,C,Second,29,Mess,since this morning,2,0,High,In Progress,16-06-2026
C0196,lift button panel gives a slight spark when pressed.,Public,C,Second,27,Lift,since noon,16,9,Critical,In Progress,17-06-2026
C0197,"misplaced my umbrella in the common area, it has my name written on it, kindly fix soon",Private,B,Ground,10,Security,for 5 hours,1,0,Low,In Progress,17-06-2026
C0198,"the lift interior light has been dim for days now, kind of unpleasant to use at night, need this fixed soon",Public,B,Ground,7,Lift,for 4 days now,21,4,Medium,Pending,17-06-2026
C0199,"Inverter in Block B isnt charging properly, backup barely lasts 10 minutes now (for 2 weeks now). Please look into this.",Public,B,First,14,Electricity,for 2 weeks now,28,7,Medium,Pending,17-06-2026
C0200,"Sir, theres a moldy smell coming from the bathroom ceiling, it wont go away, since 2 hours. Kindly resolve at the earliest.",Public,B,Second,25,Washroom,since 2 hours,1,0,Low,Resolved,17-06-2026
C0201,wall paint near my bed has started peeling off pretty badly,Public,C,Second,28,Furniture,since last week,1,0,Low,Pending,18-06-2026
C0202,"Hi, construction work right outside starts at 6am and its impossible to get any sleep",Public,C,First,14,Noise,since Wednesday,99,27,High,Rejected,18-06-2026
C0203,Corridor floor on First floor is covered in dust and hasnt been swept in a while (for 5 hours). Please look into this.,Public,C,First,19,Cleanliness,for 5 hours,23,7,Low,Resolved,19-06-2026
C0204,"For more than 10 days, garbage bins outside Block A havent been emptied in almost a week now.",Public,A,First,12,Cleanliness,for more than 10 days,32,11,Medium,Resolved,19-06-2026
C0205,"Common room curtains are torn and dont close fully anymore, sunlight comes in all day!!",Public,B,First,17,Furniture,for 3-4 days now,35,0,Low,Pending,19-06-2026
C0206,"Curtain rod in my room fell down again, this is the third time this month. Please look into this",Public,A,Ground,10,Furniture,for a month now,1,0,Low,Rejected,20-06-2026
C0207,"Hi, false ceiling panel near the stairwell fell down suddenly yesterday",Public,A,Ground,2,Furniture,since yesterday,36,0,High,Resolved,20-06-2026
C0208,Hot water in the geyser runs out within five minutes every single morning,Public,C,First,20,Water Supply,for over a week,1,0,Medium,Resolved,20-06-2026
C0209,"found a hair in my food again today, this is like the third time this month, need this fixed soon",Public,A,Ground,9,Mess,for a month now,110,28,High,Pending,20-06-2026
C0210,Cctv camera near the main gate hasnt been working for days now.,Public,A,Second,27,Security,for 4 days now,97,10,High,Resolved,20-06-2026
C0211,"Hi, cockroaches keep coming out of the drain in my washroom every night. Please look into this.",Public,C,First,18,Pest Control,for over a week,1,0,Medium,In Progress,21-06-2026
C0212,"Bunk bed ladder in my room feels really loose, kind of unsafe to climb (for 3-4 days now). Please look into this.",Public,A,Ground,1,Furniture,for 3-4 days now,1,0,High,Pending,21-06-2026
C0213,"exhaust fan in the washroom doesnt work so it never really airs out properly for almost a week, kindly fix soon",Public,A,Ground,5,Washroom,for almost a week,37,21,Low,Resolved,21-06-2026
C0214,"theres barely any wifi signal that reaches the rooms at the end of the corridor for 5 hours, need this fixed soon",Public,A,Ground,7,WiFi,for 5 hours,10,4,Low,Resolved,22-06-2026
C0215,"Tube light near the staircase in Block A is completely dead, its pitch dark there at night.",Public,A,Ground,4,Electricity,for 5 hours,16,8,High,Resolved,22-06-2026
C0216,Id card checking at the main gate has become quite lax these days.,Private,C,Ground,6,Security,since this evening,54,15,Low,Resolved,22-06-2026
C0217,"Water tank supplying Block C seems empty, taps have been running dry since morning.",Public,C,First,15,Water Supply,since this morning,24,5,High,In Progress,22-06-2026
C0218,"found a hair in my food again today, this is like the third time this month. Not happy about this at all.",Public,B,Ground,4,Mess,for a month now,66,23,High,In Progress,22-06-2026
C0219,"Tube light near the staircase in Block A is completely dead, its pitch dark there at night, since Tuesday!!",Public,A,Ground,7,Electricity,since Tuesday,34,16,Medium,In Progress,22-06-2026
C0220,"since the weekend, tube light near the staircase in Block C is completely dead, its pitch dark there at night.",Public,C,Second,30,Electricity,since the weekend,34,12,Medium,Pending,23-06-2026
C0221,"Laundry room on Second floor was locked the entire day, couldnt wash my clothes before my exam.",Public,A,Second,22,Laundry,for 3-4 days now,17,7,Medium,Resolved,23-06-2026
C0222,Cctv camera near the main gate hasnt been working for days now. This is getting really frustrating.,Public,A,Ground,10,Security,for 4 days now,118,48,High,In Progress,23-06-2026
C0223,There is a bad power fluctuation issue thats damaging chargers and laptops on First floor (for 5 hours). Please look into this.,Public,C,First,17,Electricity,for 5 hours,19,6,High,In Progress,23-06-2026
C0224,"the water dispenser stand in the common area is cracked and looks like it might collapse since 2 hours, someone pls check this",Public,A,Ground,4,Water Cooler,since 2 hours,39,21,High,Pending,24-06-2026
C0225,"Sir, cockroaches keep coming out of the drain in my washroom every night. Kindly resolve at the earliest.",Public,A,Second,23,Pest Control,for over a week,1,0,Medium,Resolved,24-06-2026
C0226,The visitors register at the gate hasnt been updated properly in weeks.,Private,B,Ground,3,Security,for 2 weeks now,50,2,Medium,In Progress,24-06-2026
C0227,"For the past 2 days, id card checking at the main gate has become quite lax these days.",Private,C,Ground,8,Security,for the past 2 days,115,14,Low,Resolved,25-06-2026
C0228,"Sir, cctv camera near the main gate hasnt been working for days now. Kindly resolve at the earliest.",Public,B,Second,30,Security,for 4 days now,84,34,High,Pending,25-06-2026
C0229,"The washroom tap in my room is leaking non stop and wasting so much water, for over a week.",Public,A,Second,25,Leakage,for over a week,1,0,Medium,In Progress,26-06-2026
C0230,"internet speed on Ground floor becomes unusably slow after around 8pm for 2 weeks now, pls fix asap",Public,A,Ground,6,WiFi,for 2 weeks now,19,3,High,In Progress,26-06-2026
C0231,"Tube light near the staircase in Block D is completely dead, its pitch dark there at night (since this evening). Please look into this.",Public,B,First,13,Electricity,since this evening,23,3,Medium,Pending,26-06-2026
C0232,"For a month now, wifi password got changed without telling anyone, nobody on the floor can connect now.",Public,C,Ground,2,WiFi,for a month now,15,3,Low,Pending,26-06-2026
C0233,"Hi, geyser pipe connection is leaking hot water near the switch, feels pretty dangerous. Kindly resolve at the earliest.",Public,A,First,13,Leakage,since Tuesday,2,0,Low,Resolved,26-06-2026
C0234,"Laundry room on First floor was locked the entire day, couldnt wash my clothes before my exam (for almost a week). Please look into this.",Public,B,First,14,Laundry,for almost a week,33,11,High,Resolved,26-06-2026
C0235,Corridor lights on Ground floor have been flickering on and off for no reason.,Public,C,Ground,9,Electricity,since Monday,31,0,Medium,Pending,26-06-2026
C0236,"Paint on the outer building wall is fading badly and looks quite patchy now, since 30 minutes. Kindly send someone to look at it.",Public,B,Second,23,Furniture,since 30 minutes,132,53,Low,Resolved,26-06-2026
C0237,A lizard fell from the ceiling right onto my study table yesterday.,Public,A,First,13,Pest Control,since yesterday,1,0,Medium,Resolved,26-06-2026
C0238,Internet speed on Ground floor becomes unusably slow after around 8pm.,Public,C,Ground,6,WiFi,since the weekend,32,10,Medium,In Progress,27-06-2026
C0239,"Bunk bed ladder in my room feels really loose, kind of unsafe to climb. Thanks in advance.",Public,B,Second,24,Furniture,since noon,1,0,High,Rejected,27-06-2026
C0240,"Wifi keeps disconnecting every few minutes, cant even attend my online classes properly (for 4 days now). Please look into this.",Public,B,Ground,2,WiFi,for 4 days now,30,3,Medium,Pending,27-06-2026
C0241,"theres a long crack running across the ceiling of my room, getting a bit worried about it, pls fix asap",Public,A,First,14,Furniture,for more than 10 days,1,0,Low,In Progress,27-06-2026
C0242,"the washroom bin hasnt been cleaned in so long, it smells awful the moment you walk in (since last week). Please look into this.",Public,C,Ground,4,Washroom,since last week,38,13,High,Pending,28-06-2026
C0243,Toilet seat in the washroom on First floor is broken and wobbly. Please look into this.,Public,C,First,15,Washroom,for a month now,11,0,Medium,Resolved,28-06-2026
C0244,"The mosquito net frame on my window is broken and mosquitoes keep getting in, for more than 10 days. Please look into this at the earliest.",Public,C,First,20,Window,for more than 10 days,1,0,High,Resolved,28-06-2026
C0245,"Wall paint near my bed has started peeling off pretty badly, for a month now. Not happy about this at all.",Public,C,First,16,Furniture,for a month now,1,0,Low,Resolved,28-06-2026
C0246,"The washing machine ate my 20 rupees and didnt even start the cycle, since 2 hours.",Public,A,First,12,Laundry,since 2 hours,1,0,Low,In Progress,28-06-2026
C0247,"Hi, garbage bins outside Block B havent been emptied in almost a week now, someone pls check this",Public,B,Ground,2,Cleanliness,since yesterday,28,2,Medium,Pending,28-06-2026
C0248,Mess food quality has gone really bad lately.,Public,A,Second,30,Mess,since last night,128,46,High,Resolved,28-06-2026
C0249,The security guard wasnt at the front desk after 11pm again yesterday.,Public,A,Ground,2,Security,since yesterday,137,8,High,Resolved,29-06-2026
C0250,Carrom board in the common room is missing four coins so we cant even play properly.,Public,A,Ground,2,Furniture,since this evening,24,0,Low,In Progress,29-06-2026
C0251,"two of my friends fell sick after dinner yesterday, the food might have been stale, someone pls check this",Public,B,Ground,10,Mess,since yesterday,3,2,High,Resolved,29-06-2026
C0252,"The washroom bin hasnt been cleaned in so long, it smells awful the moment you walk in, since this morning. Please look into this at the earliest.",Public,A,Ground,7,Washroom,since this morning,14,3,High,In Progress,29-06-2026
C0253,"Noticed sparks coming from the wall socket near my bed last night, kind of scared to switch it on again. plz look into this.",Public,A,Ground,10,Electricity,since last night,1,0,Critical,Resolved,29-06-2026
C0254,"Sir, dustbins on my floor are overflowing and nobody has collected the trash in days, for the past 2 days. Kindly resolve at the earliest.",Public,A,Second,22,Cleanliness,for the past 2 days,25,9,Medium,Resolved,29-06-2026
C0255,"For the past 3 days, sink drain in my room is completely clogged, water just doesnt go down anymore.",Public,C,First,20,Drainage,for the past 3 days,1,0,Low,In Progress,29-06-2026
C0256,My washroom door doesnt lock properly because the pipe fitting behind it is loose and jammed (since Monday). Please look into this.,Public,C,Second,29,Washroom,since Monday,1,0,Medium,Pending,30-06-2026
C0257,"The washroom bin hasnt been cleaned in so long, it smells awful the moment you walk in, since Monday.",Public,B,First,13,Washroom,since Monday,18,10,Medium,In Progress,30-06-2026
C0258,Ants have completely taken over the shelf where I keep my snacks (for almost a week). Please look into this.,Public,C,First,15,Pest Control,for almost a week,1,0,Low,Resolved,30-06-2026
C0259,Tube light in my room keeps flickering non stop and its giving me a headache. Please look into this.,Public,B,First,13,Electricity,for more than 10 days,1,0,Low,Resolved,30-06-2026
C0260,"Sir, lift in our block has been out of service for days, we have to carry luggage up 5 floors. Kindly resolve at the earliest.",Public,C,First,19,Lift,for 4 days now,29,0,Medium,In Progress,30-06-2026
C0261,flush in the common washroom on Ground floor isnt wrking properly at all.,Public,A,Ground,3,Washroom,since yesterday,38,19,High,Pending,30-06-2026
C0262,"main gate lock has been broken since last week, literally anyone can walk in",Private,C,First,13,Security,since last week,57,21,High,Resolved,01-07-2026
C0263,"For over a week, inverter in Block A isnt charging properly, backup barely lasts 10 minutes now!!",Public,A,First,18,Electricity,for over a week,30,2,Medium,In Progress,01-07-2026
C0264,Roof of the corridor on First floor has started leaking whenever it rains.,Public,C,First,12,Furniture,for the past 3 days,35,19,Medium,Resolved,01-07-2026
C0265,"Lost my wrist watch somewhere near Block D, would really appreciate any help finding it (since the weekend). Please look into this.",Private,B,Second,27,Security,since the weekend,1,0,Low,Resolved,01-07-2026
C0266,"wifi keeps disconnecting every few minutes, cant even attend my online classes properly since Monday, someone pls check this",Public,C,First,11,WiFi,since Monday,33,5,High,Resolved,01-07-2026
C0267,"The door of my room isnt closing all the way, theres a gap at the bottom. Hope this gets resolved soon!!",Public,C,First,18,Furniture,since last Friday,2,0,Low,Resolved,02-07-2026
C0268,Fan in Room 4 makes a loud grinding noise and wobbles when running on high speed.,Public,A,Second,27,Electricity,since 2 hours,2,0,Medium,Pending,02-07-2026
C0269,"The drain right outside Block C is overflowing and it smells terrible, since last Friday.",Public,C,Second,27,Drainage,since last Friday,34,4,High,In Progress,02-07-2026
C0270,"common washroom on Ground floor hasnt been cleaned in days, it genuinely smells really bad for over a week, pls fix asap!!",Public,A,Ground,6,Cleanliness,for over a week,10,4,Medium,Pending,02-07-2026
C0271,"Mattress in my room is completely sunken in the middle, my back has been hurting (for the past 3 days). Please look into this.",Public,A,Second,30,Furniture,for the past 3 days,1,0,Medium,Pending,02-07-2026
C0272,"bunk bed ladder in my room feels really loose, kind of unsafe to climb, pls fix asap",Public,A,Ground,10,Furniture,since Monday,1,0,Medium,In Progress,03-07-2026
C0273,"The socket near my study table is loose and the plug keeps falling out, since 2 hours.",Public,C,First,14,Electricity,since 2 hours,1,0,Medium,Pending,03-07-2026
C0274,"dropped my spectacles somewhere between the library and Block A, if anyone finds it please let me know.",Private,A,First,11,Security,since 30 minutes,1,0,Low,In Progress,03-07-2026
C0275,"Lost my spectacles somewhere near Block D, would really appreciate any help finding it (for over a week). Please look into this.",Private,B,First,18,Security,for over a week,1,0,Low,Resolved,04-07-2026
C0276,"Toilet seat in the washroom on Second floor is broken and wobbly, since last Friday. Would appreciate a quick fix.",Public,A,Second,28,Washroom,since last Friday,29,8,Medium,Pending,04-07-2026
C0277,"The door of my room isnt closing all the way, theres a gap at the bottom.",Public,C,First,14,Furniture,since Wednesday,1,0,Low,Resolved,04-07-2026
C0278,The socket near my study table is loose and the plug keeps falling out.,Public,B,Second,26,Electricity,for 3-4 days now,1,0,Medium,In Progress,04-07-2026
C0279,"The cupboard door in my room wont close properly, the hinge looks broken, for 3-4 days now. Not happy about this at all.",Public,B,Ground,4,Furniture,for 3-4 days now,1,0,Low,Resolved,04-07-2026
C0280,"dustbins on my floor are overflowing and nobody has collected the trash in days for 5 hours, pls fix asap",Public,A,Second,30,Cleanliness,for 5 hours,22,8,Medium,In Progress,05-07-2026
C0281,Exhaust fan in the washroom doesnt work so it never really airs out properly (for over a week). Please look into this.,Public,A,First,20,Washroom,for over a week,21,4,Low,Pending,05-07-2026
C0282,"Carrom board in the common room is missing four coins so we cant even play properly, since Wednesday. Hope this gets resolved soon.",Public,A,First,12,Furniture,since Wednesday,40,22,Medium,Resolved,05-07-2026
C0283,The staircase railing near Ground floor is loose and wobbles when you hold it.,Public,A,Ground,6,Furniture,since Tuesday,20,1,High,Pending,05-07-2026
C0284,"Power backup didnt kick in at all during last nights outage, we sat in the dark for hours. plz look into this.",Public,A,Second,29,Electricity,since last night,107,42,High,Resolved,06-07-2026
C0285,"wardrobe door in my room doesnt shut properly anymore, the hinges look rusted through (since last week). plz look into this.",Public,B,Second,22,Furniture,since last week,1,0,Low,In Progress,06-07-2026
C0286,"door lock of the common entrance isnt latching properly, it just swings open (fr 6 days). Please look into this",Private,C,First,16,Security,for 6 days,17,6,High,Resolved,07-07-2026
C0287,rainwater keeps entering the ground floor corridor because of blocked drainage,Public,C,Ground,3,Drainage,since this morning,11,6,High,Pending,08-07-2026
C0288,"Mosquitoes are unbearable in the evenings, we havent been given any nets or repellent, since last night. Kindly send someone to look at it.",Public,B,First,13,Pest Control,since last night,37,2,High,Pending,08-07-2026
C0289,"Lost my phone charger somewhere near Block B, would really appreciate any help finding it, for 5 hours. Please look into this at the earliest.",Private,B,Ground,2,Security,for 5 hours,1,0,Low,Pending,08-07-2026
C0290,"the open drain near the entrance is breeding mosquitoes, its a health hazard honestly for 5 hours, pls fix asap",Public,A,Second,30,Drainage,for 5 hours,69,6,High,In Progress,08-07-2026
C0291,False ceiling panel near the stairwell fell down suddenly yesterday.,Public,C,Second,23,Furniture,since yesterday,26,4,High,Pending,08-07-2026
C0292,"dropped my hoodie somewhere between the library and Block B, if anyone finds it please let me know since the weekend, need this fixed soon",Private,B,First,20,Security,since the weekend,1,0,Low,In Progress,08-07-2026
C0293,"common room curtains are torn and dont close fully anymore, sunlight comes in all day since last Friday, need this fixed soon",Public,A,First,19,Furniture,since last Friday,26,0,Medium,In Progress,09-07-2026
C0294,"Corridor floor on Second floor is covered in dust and hasnt been swept in a while, since last Friday.",Public,C,Second,26,Cleanliness,since last Friday,37,17,Low,Resolved,09-07-2026
C0295,"For a month now, bunk bed ladder in my room feels really loose, kind of unsafe to climb.",Public,A,Second,23,Furniture,for a month now,1,0,High,Resolved,10-07-2026
C0296,Common washroom on Second floor hasnt been cleaned in days.,Public,B,Second,21,Cleanliness,for 5 hours,38,10,Medium,In Progress,10-07-2026
C0297,"The generator right outside makes it impossible to study in the evenings, for more than 10 days. Thanks in advance.",Public,B,First,14,Noise,for more than 10 days,132,9,Low,Resolved,10-07-2026
C0298,"The generator right outside makes it impossible to study in the evenings, for almost a week. plz look into this at the earliest.",Public,C,First,12,Noise,for almost a week,138,39,Low,Pending,10-07-2026
C0299,"Hello, found bed bugs in my mattress, honestly cant sleep properly anymore, for 4 days now. Kindly resolve at the earliest.",Public,B,Second,26,Pest Control,for 4 days now,1,0,High,Resolved,10-07-2026
C0300,"Dear Warden, water pressure is extremely low every morning, cant even fill a bucket properly. Kindly resolve at the earliest.",Public,C,First,14,Water Supply,for over a week,95,39,High,In Progress,10-07-2026
C0301,"Hello, ceiling fan regulator is broken so the fan only runs on full speed.",Public,C,Second,25,Electricity,for almost a week,1,0,Low,Rejected,10-07-2026
C0302,"Sink drain in my room is completely clogged, water just doesnt go down anymore. Please fix this as soon as possible.",Public,A,Ground,3,Drainage,for 5 hours,1,0,Low,Resolved,10-07-2026
C0303,"wardrobe door in my room doesnt shut properly anymore, the hinges look rusted through since Monday, kindly fix soon",Public,B,Ground,10,Furniture,since Monday,1,0,Low,Pending,10-07-2026
C0304,"There were small stones in the rice today, I almost broke a tooth. Please fix this as soon as possible.",Public,A,First,20,Mess,since this morning,2,1,Medium,In Progress,11-07-2026
C0305,"My umbrella went missing from the room, not really sure if it was stolen or just misplaced, since last week. Would appreciate a quick fix!!",Private,C,Ground,1,Security,since last week,1,0,Low,Resolved,11-07-2026
C0306,"RO purifier on Ground floor of Block B stopped working, water tastes really weird now.",Public,B,Ground,2,Water Supply,for 5 hours,37,10,Medium,Pending,11-07-2026
C0307,"Corridor lights on First floor have been flickering on and off for no reason, since 30 minutes.",Public,B,First,12,Electricity,since 30 minutes,15,3,High,Resolved,11-07-2026
C0308,"Two of my friends fell sick after dinner yesterday, the food might have been stale. Please look into this.",Public,B,Second,24,Mess,since yesterday,2,1,High,In Progress,11-07-2026
C0309,"Hello, my denim jacket went missing from the room, not really sure if it was stolen or just misplaced, since Wednesday. Kindly resolve at the earliest.",Private,A,Ground,10,Security,since Wednesday,1,0,Low,Pending,11-07-2026
C0310,"Hello, mosquitoes are unbearable in the evenings, we havent been given any nets or repellent, for 5 hours. Kindly resolve at the earliest.",Public,C,Ground,4,Pest Control,for 5 hours,10,6,High,Pending,12-07-2026
C0311,"Sir, dryer in the laundry area has been out of order for days now, clothes just wont dry. Kindly resolve at the earliest.",Public,A,Ground,4,Laundry,for 4 days now,26,5,Low,Pending,12-07-2026
C0312,Roof of the corridor on Ground floor has started leaking whenever it rains.,Public,C,Ground,1,Furniture,for over a week,23,0,Medium,Resolved,12-07-2026
C0313,washroom mirror is covered in stains and never actually gets wiped down. Would appreciate a quick fix,Public,C,Ground,1,Cleanliness,since 2 hours,39,22,Low,Pending,12-07-2026
C0314,"lift button panel gives a slight spark when pressed, might be a wiring issue.",Public,B,First,19,Lift,for 2 weeks now,12,2,Critical,Resolved,12-07-2026
C0315,Paint on the outer building wall is fading badly and looks quite patchy now. Please look into this.,Public,B,Second,23,Furniture,since yesterday,79,33,Medium,Pending,12-07-2026
C0316,"Mosquitoes are unbearable in the evenings, we havent been given any nets or repellent.",Public,A,Second,30,Pest Control,for 4 days now,40,0,High,In Progress,12-07-2026
C0317,"Sir, flush in the common washroom on Ground floor isnt working properly at all, for the past 3 days. Kindly resolve at the earliest.",Public,B,Ground,7,Washroom,for the past 3 days,36,0,Medium,Pending,12-07-2026
C0318,theres barely any wifi signal that reaches the rooms at the end of the corridor,Public,A,Ground,7,WiFi,for over a week,29,2,Low,Pending,13-07-2026
C0319,"wall paint near my bed has started peeling off pretty badly since noon, someone pls check this",Public,A,Ground,6,Furniture,since noon,1,0,Low,Resolved,13-07-2026
C0320,"Hello, sink drain in my room is completely clogged, water just doesnt go down anymore, for almost a week. Not happy about this at all.",Public,B,First,17,Drainage,for almost a week,1,0,Low,Pending,13-07-2026
C0321,"Hi, rO purifier on Ground floor of Block A stopped working, water tastes really weird now, need this fixed soon",Public,A,Ground,9,Water Supply,since Tuesday,31,0,High,Resolved,13-07-2026
C0322,"for the past 3 days, mess timing keeps changing without any notice, we end up missing dinner.",Public,B,First,20,Mess,for the past 3 days,114,42,Medium,Pending,13-07-2026
C0323,"Wardrobe door in my room doesnt shut properly anymore, the hinges look rusted through, for almost a week. This is getting really frustrating.",Public,C,Second,25,Furniture,for almost a week,1,0,Medium,Pending,14-07-2026
C0324,"Shower head in the bathroom is broken, water just sprays sideways everywhere!!",Public,A,Second,21,Washroom,since noon,1,0,Low,Resolved,14-07-2026
C0325,"Mess timing keeps changing without any notice, we end up missing dinner (since Wednesday). Please look into this.",Public,A,First,18,Mess,since Wednesday,138,10,Medium,Pending,14-07-2026
C0326,Washroom mirror is covered in stains and never actually gets wiped down.,Public,C,Second,28,Cleanliness,for the past 2 days,39,0,Low,Pending,14-07-2026
C0327,"my laptop charger went missing from the room, not really sure if it was stolen or just misplaced since this morning, kindly fix soon",Private,C,Ground,9,Security,since this morning,1,0,Low,Pending,14-07-2026
C0328,"Hi, misplaced my bunch of keys in the common area, it has my name written on it, since 2 hours. This is getting really frustrating.",Private,A,First,19,Security,since 2 hours,1,0,Low,Resolved,14-07-2026
C0329,Window latch in my room is broken so it doesnt lock shut anymore (for 3-4 days now). Please look into this.,Public,C,Ground,6,Window,for 3-4 days now,1,0,Low,In Progress,14-07-2026
C0330,"Paint on the outer building wall is fading badly and looks quite patchy now, for 5 hours.",Public,A,First,16,Furniture,for 5 hours,60,24,Medium,In Progress,15-07-2026
C0331,"For the past 3 days, inverter in Block B isnt charging properly, backup barely lasts 10 minutes now.",Public,B,First,12,Electricity,for the past 3 days,27,14,Medium,Pending,15-07-2026
C0332,The washing machine ate my 20 rupees and didnt even start the cycle (since 2 hours). Please look into this.,Public,C,First,20,Laundry,since 2 hours,1,0,Low,Resolved,16-07-2026
C0333,"Hi, theres been no drinking water in the cooler on Second floor since this morning.",Public,A,Second,28,Water Cooler,since this morning,37,3,High,Pending,16-07-2026
C0334,"corridor lights on Ground floor have been flickering on and off for no reason, for more than 10 days. Not happy about this at all.",Public,C,Ground,10,Electricity,for more than 10 days,10,0,High,In Progress,16-07-2026
C0335,"Theres a long crack running across the ceiling of my room, getting a bit worried about it, since last night.",Public,B,First,15,Furniture,since last night,1,0,Medium,In Progress,16-07-2026
C0336,"Toilet seat in the washroom on Second floor is broken and wobbly, since 2 hours. Would appreciate a quick fix.",Public,C,Second,21,Washroom,since 2 hours,21,12,Medium,Resolved,16-07-2026
C0337,A group keeps playing loud games in the corridor past midnight almost every day.,Public,C,First,17,Noise,for over a week,32,18,Low,Pending,17-07-2026
C0338,"Since noon, mess food quality has gone really bad lately, everything tastes bland and comes out cold.",Public,B,Ground,5,Mess,since noon,127,56,High,Resolved,17-07-2026
C0339,The router near the common room has just been blinking red since yesterday. Not happy about this at all!!,Public,B,Ground,6,WiFi,since yesterday,39,3,Medium,Resolved,18-07-2026
C0340,internet speed on Second floor becomes unusably slow after around 8pm.,Public,B,Second,23,WiFi,for 4 days now,15,0,Low,In Progress,18-07-2026
C0341,"Laundry room on Second floor was locked the entire day, couldnt wash my clothes before my exam, since 30 minutes.",Public,B,Second,29,Laundry,since 30 minutes,36,14,Medium,Resolved,18-07-2026
C0342,"mosquitoes are unbearable in the evenings, we havent been given any nets or repellent for more than 10 days, kindly fix soon",Public,B,First,16,Pest Control,for more than 10 days,15,0,High,In Progress,18-07-2026
C0343,My bed frame is creaking really badly and one leg feels loose (for more than 10 days). Please look into this.,Public,A,Ground,9,Furniture,for more than 10 days,1,0,Medium,Resolved,18-07-2026
C0344,"For more than 10 days, bunk bed ladder in my room feels really loose, kind of unsafe to climb.",Public,C,First,16,Furniture,for more than 10 days,1,0,High,In Progress,18-07-2026
C0345,"common room curtains are torn and dont close fully anymore, sunlight comes in all day",Public,C,Ground,7,Furniture,for 5 hours,26,10,Low,Rejected,19-07-2026
C0346,Cockroaches keep coming out of the drain in my washroom every night. Please look into this.,Public,A,Ground,4,Pest Control,for over a week,1,0,Medium,Resolved,20-07-2026
C0347,"Respected Warden, corridor floor on Second floor is covered in dust and hasnt been swept in a while, for 6 days. Kindly resolve at the earliest.",Public,B,Second,23,Cleanliness,for 6 days,29,17,Medium,Pending,20-07-2026
C0348,"corridor lights on Ground floor have been flickering on and off for no reason, need this fixed soon",Public,C,Ground,4,Electricity,since last Friday,13,0,Medium,In Progress,20-07-2026
C0349,"since Tuesday, sink drain in my room is completely clogged, water just doesnt go down anymore",Public,B,Second,25,Drainage,since Tuesday,1,0,Low,Rejected,21-07-2026
C0350,"wifi keeps disconnecting every few minutes, cant even attend my online classes properly for almost a week, someone pls check this",Public,C,Ground,7,WiFi,for almost a week,16,9,Medium,Resolved,21-07-2026
